Task,Avg_PSNR,Avg_SSIM,Avg_LPIPS,FID
motion_blur,23.102398014068605,0.6415147811174393,0.2702676020562649,115.92852560207552
inpainting,29.96880683898926,0.8406247526407242,0.162372587621212,65.54715540541525
nonlinear_blur,22.894057178497313,0.6263897180557251,0.2894188962876797,127.45921258068927
phase_retrieval,11.615217065811157,0.3741368785500526,0.6672439228743314,299.62651575322184
super_resolution,23.96782808303833,0.6677340239286422,0.26523210778832434,121.22611444132846
gaussian_blur,25.20767288208008,0.6980402588844299,0.22012768238782882,99.47870663217896
